id,text,label
57,"Las Organizaciones constituidas conforme a las leyes extranjeras, previo cumplimiento de las disposiciones jurídicas aplicables, que realicen una o más de las actividades cuyo fomento tiene por objeto esta Ley, tendrán las obligaciones y gozarán de los derechos que derivan de la inscripción en el Registro, con exclusión de los que se establecen en el artículo 8, fracciones II, III, IV y VI, reservados a las Organizaciones constituidas conforme a las leyes mexicanas.",
58,"Artículo 8. Para los efectos de esta Ley y sin perjuicio de otras disposiciones jurídicas aplicables, las Organizaciones tienen los derechos siguientes;",
59,I. Solicitar su inscripción en el Registro;,
60,"II. Coadyuvar como instancias de participación o consulta, a través de los mecanismos determinados por las Dependencias y Entidades de la administración pública estatal o municipal, de conformidad con la Ley de Planeación del Estado de México y Municipios, su Reglamento y las demás disposiciones jurídicas aplicables;",
61,"III. Integrarse a los órganos de participación y consulta de la administración pública estatal, en las áreas vinculadas con las Actividades de Fomento que realicen, previa convocatoria que realice el órgano de opinión o consulta correspondiente;",
62,"IV. Participar en los mecanismos de contraloría social que establezcan u operen las Dependencias y Organismos, de conformidad con las disposiciones jurídicas aplicables;",
63,"V. Difundir y promocionar programas, proyectos y actividades que realicen o en los que participen en beneficio del interés público;",
64,VI. Gozar de los incentivos fiscales y demás apoyos económicos que establezcan las disposiciones jurídicas de la materia;,
65,"VII. Recibir donativos y aportaciones, en términos de las disposiciones fiscales y demás ordenamientos aplicables;",
66,LEY DE FOMENTO A LAS ACTIVIDADES DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL DEL ESTADO DE MÉXICO 4,
67,"VIII. Solicitar el acceso a programas públicos de asesoría, capacitación y colaboración de las Dependencias y entidades del Estado de México, para el mejor desarrollo y cumplimiento de su objeto y actividades, en el marco de los programas que al efecto formulen;",
68,"IX. Recibir asesoría y capacitación a efecto de fortalecer y potenciar sus capacidades institucionales y de organización interna, así como a la promoción de actividades de vinculación;",
69,"X. Participar en la planeación, ejecución, supervisión, evaluación y seguimiento de las políticas públicas, programas, proyectos y procesos que realicen las Dependencias, Entidades y los Ayuntamientos, en relación con las Actividades de Fomento que realicen, en los términos que establezcan las disposiciones jurídicas aplicables;",
70,XI. Formar y participar en Redes a fin de incrementar su comunicación y cooperación para lograr fines legítimos;,
71,"XII. Participar en la realización de actividades sociales, cívicas, económicas y culturales relacionadas con el desarrollo solidario y ordenado de los distintos municipios y comunidades del Estado de México;",
72,"XIII. Pronunciarse de forma crítica con pluralismo, libertad de ideas y en paz, siempre en el marco de legalidad con respeto, tolerancia, igualdad, no discriminación; así como equidad e integridad;",
73,"XIV. Participar con voz, en los órganos administrativos de deliberación, definición, seguimiento, ejecución y evaluación de las políticas públicas de la administración pública estatal y municipal, de conformidad con sus respectivas disposiciones jurídicas;",
74,"XV. Contribuir al desarrollo económico, social y cultural de la comunidad, y",
75,"XVI. Los demás que establezca esta Ley, su Reglamento y las demás disposiciones jurídicas aplicables.",
76,"Artículo 9. Para acceder a los apoyos y estímulos que otorgue la Administración Pública Estatal, dirigidos al fomento de las actividades que esta Ley establece, las Organizaciones tienen, además de las previstas en otras disposiciones jurídicas aplicables, las obligaciones siguientes:",
77,I. Inscribirse en el Registro y mantener actualizada su información;,
78,"II. Coadyuvar con las autoridades competentes, en los términos de los convenios que al efecto se celebren, en la prestación de servicios públicos relacionados con sus Actividades de Fomento;",
79,"III. Notificar y entregar a la Secretaría, cuando el caso lo requiera, la documentación e información del estatus que guarda para mantener actualizada su inscripción ante el Registro;",
80,"IV. Inscribir en el Registro la denominación de las Redes de las que forme parte, así como cuando deje de pertenecer a las mismas;",
81,"V. Informar anualmente a la Secretaría sobre las actividades realizadas y el cumplimiento de sus propósitos del año inmediato anterior, asimismo deberá entregar el programa de trabajo del próximo año;",
82,VI. Proporcionar la información que les sea requerida por autoridad competente relacionada con el desarrollo institucional de la Organización;,
83,LEY DE FOMENTO A LAS ACTIVIDADES DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL DEL ESTADO DE MÉXICO 5,
84,VII. Realizar las acciones necesarias para el cumplimiento de su objeto social;,
85,VIII. Promover la capacitación y profesionalización constante de sus integrantes;,
86,"IX. No realizar actividades de proselitismo partidista o electoral, o actividades con fines religiosos, ni con fines de lucro;",
87,"X. Actuar con criterios de respeto, imparcialidad, igualdad y con base en el derecho a la no discriminación, en la determinación de miembros y beneficiarios;",
88,"XI. Facilitar, incentivar y fomentar la rendición de cuentas y el ejercicio efectivo de la transparencia proactiva;",
89,"XII. Adoptar e impulsar medidas y estándares para conservar y mantener en orden sus archivos documentales relativos a sus actividades, y",
90,"XIII. Las demás que establezca esta Ley, su Reglamento y las demás disposiciones jurídicas aplicables.",
91,CAPÍTULO III DE LA COMISIÓN DE FOMENTO A LAS ACTIVIDADES DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL,
92,"Artículo 10. La Comisión de Fomento a las Actividades de las Organizaciones de la Sociedad Civil es la instancia de coordinación interinstitucional para el diseño, ejecución, seguimiento y evaluación de las acciones y medidas para el fomento de las actividades y el fortalecimiento de las Organizaciones materia de esta Ley.",
93,"La Comisión deberá ponderar la estandarización del enfoque, prácticas y criterios de fomento a las actividades de las Organizaciones entre las Dependencias y Entidades de la administración pública estatal.",
94,Artículo 11. La Comisión se integra por:,
95,"I. Una persona representante de la Secretaría General de Gobierno, quien la presidirá;",
96,"II. Una persona representante de la Secretaría de Bienestar, quien fungirá como secretario;",
97,III. Una persona representante de la Secretaría de Finanzas;,
98,IV. Una persona representante de la Consejería Jurídica;,
99,V. Una persona representante de la Secretaría de Salud;,
100,VI. Una persona representante de la Secretaría de Cultura y Turismo;,
101,"VII. Una persona representante de la Secretaría de Educación, Ciencia Tecnología e Innovación;",
102,VIII. Una persona representante de la Secretaría de Desarrollo Urbano e Infraestructura;,
103,IX. Una persona representante de la Secretaría de las Mujeres;,
104,LEY DE FOMENTO A LAS ACTIVIDADES DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL DEL ESTADO DE MÉXICO 6,
105,X. Una persona representante de la Secretaría del Medio Ambiente y Desarrollo Sostenible;,
106,XI. Una persona representante de la Oficialía Mayor;,
107,XII. Una persona representante de la Secretaría de la Contraloría;,
108,XIII. Cinco personas representantes de las Organizaciones inscritas en el Registro;,
109,"XIV. Una Diputada o Diputado representante de la Comisión Legislativa de Participación Ciudadana, y",
110,XV. Dos personas ciudadanas del sector académico en materia de Organizaciones.,
111,"Cada persona integrante designará a su suplente, quien deberá tener el nivel mínimo de persona titular de dirección general o equivalente.",
112,Los cargos de la Comisión serán de carácter honorífico.,
113,"La persona titular del Poder Ejecutivo Estatal podrá asistir a las reuniones de la Comisión, en cuyo caso, las presidirá.",
114,La presidencia estará auxiliada por la persona titular de la Subsecretaría quien estará a cargo de la Secretaría Técnica de la Comisión.,
115,Las personas integrantes tendrán derecho a voz y voto.,
116,"Las decisiones de la Comisión se tomarán por unanimidad o por mayoría de votos, en caso de empate, la presidencia tendrá voto de calidad.",
117,Artículo 12. La Comisión deberá sesionar por lo menos tres veces al año de manera ordinaria y a petición de la presidencia o de dos o más de las personas integrantes de forma extraordinaria.,
118,"Las sesiones se llevarán a cabo previa convocatoria de la presidencia, con al menos cinco días hábiles de anticipación en caso de sesiones ordinarias y dos días naturales de anticipación para extraordinarias.",
119,"La presidencia podrá invitar a las sesiones en calidad de invitadas a personas especialistas o afines al tema, así como las demás dependencias, entidades u órganos autónomos, cuando se traten asuntos relacionados al ejercicio de sus atribuciones, quienes tendrán derecho a voz, pero no a voto.",
120,Artículo 13. La organización y funcionamiento de la Comisión deberá apegarse a lo dispuesto en el Reglamento.,
121,Artículo 14. La Comisión tendrá las atribuciones siguientes:,
122,"I. Definir políticas públicas y esquemas de promoción, vinculación y coordinación tendientes a fomentar las actividades de las Organizaciones con las Dependencias y Entidades;",
123,II. Evaluar y dar seguimiento a las políticas públicas y a los programas que por su naturaleza interactúen con las Organizaciones;,
124,LEY DE FOMENTO A LAS ACTIVIDADES DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL DEL ESTADO DE MÉXICO 7,
125,"III. Promover el diálogo continuo entre los sectores público, privado y social en beneficio de las Organizaciones;",
126,"IV. Exhortar a las Dependencias y Entidades para que designen representantes, con la finalidad de compartir el registro de Organizaciones que por sector cada una lleve; ello con el propósito de hacerlo del conocimiento de las personas integrantes de la Comisión para su debida inscripción en el Registro;",
127,"V. Ser un mecanismo para la vinculación, evaluación y seguimiento a las diversas solicitudes de las Organizaciones, mismas que serán ejecutadas por las Dependencias y Entidades;",
128,"VI. Ser una estrategia de intercomunicación que tenga por objeto divulgar el Registro entre los sectores público, privado y social del Estado de México para contribuir a su interacción;",
129,"VII. Fomentar la cooperación entre los sectores público, privado, social, académico e internacional, en la realización de acciones de desarrollo económico, político, social y humano, en las que participen las Organizaciones;",
130,VIII. Promover la capacitación y profesionalización de las Organizaciones;,
131,IX. Promover y realizar investigaciones que permitan definir políticas públicas y acciones para las Organizaciones;,
132,"X. Divulgar estratégicamente las convocatorias de participación entre las Organizaciones y las Dependencias, Entidades y municipios en los lugares más vulnerables o los que no tienen fácil acceso a la información;",
133,"XI. Promover las acciones de fomento a la cultura cívica del Gobierno del Estado de México, y",
134,"XII. Las demás que le señale la Ley, su Reglamento y las disposiciones jurídicas aplicables.",
135,"Artículo 15. La Secretaría, a través de la Subsecretaría, tendrá a su cargo la operación del sistema de información de las Organizaciones de la sociedad civil del Estado de México, denominado Registro Estatal de Organizaciones.",
136,"El Registro tendrá carácter público, se publicará en la página de internet de la Secretaría, y contendrá la documentación e información pública de las Organizaciones, con estricto apego a la Ley en la materia.",
137,Artículo 16. La Secretaría implementará los mecanismos de coordinación para que el Registro pueda interoperar con las demás bases de datos o registros de las distintas Dependencias y Entidades en materia de Organizaciones.,
138,Artículo 17. La Subsecretaría tendrá las atribuciones siguientes:,
139,I. Organizar y administrar el sistema de registro y de información de las Organizaciones;,
140,II. Inscribir a las Organizaciones que cumplan con los elementos y requisitos establecidos en esta Ley y su Reglamento;,
141,LEY DE FOMENTO A LAS ACTIVIDADES DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL DEL ESTADO DE MÉXICO 8,
142,"III. Identificar y registrar el tipo de Actividades de Fomento que las Organizaciones realicen, así como el seguimiento de estas, y la dependencia o entidad a la que esté vinculada;",
143,"IV. Ofrecer a las Dependencias, Entidades y a la ciudadanía en general, elementos de información que les ayuden a verificar el cumplimiento de las obligaciones a que se refiere esta Ley, por parte de las Organizaciones y, en caso de incumplimiento, solicitar a la autoridad competente la imposición de medidas disciplinarias o de apremio correspondientes;",
144,V. Otorgar constancia de inscripción al Registro a las Organizaciones en los términos que al efecto el Reglamento disponga;,
145,VI. Conservar constancias del proceso de registro respecto de los casos en los que la inscripción de alguna Organización haya sido rechazada o cancelada en el sistema de información;,
146,"VII. Mantener un archivo actualizado que contenga la información completa de cada una de las Organizaciones a que se refiere esta Ley, independientemente de que haya procedido su registro o no;",
147,"VIII. Permitir, conforme a las disposiciones jurídicas aplicables, el acceso a la información del Registro, asegurando la protección de datos personales en términos de la Ley de Protección de Datos Personales en Posesión de Sujetos Obligados del Estado de México y Municipios;",
148,"IX. Hacer del conocimiento de la autoridad competente, la existencia de actos o hechos que puedan ser presumiblemente violatorios de alguna disposición legal administrativa o judicial;",
149,"X. Llevar un registro de los apoyos, estímulos o beneficios a los que haya accedido la organización otorgados por las Dependencias o Entidades;",
150,"XI. Inscribir en el Registro la denominación de Redes de las que forme parte, o en su caso, el aviso correspondiente cuando dejen de pertenecer a las mismas;",
151,"XII. Divulgar las convocatorias estratégicamente en lugares donde resida población en situación de vulnerabilidad o de difícil acceso a la información, así como en redes sociales;",
152,"XIII. Asesorar en el otorgamiento de los recursos a las Organizaciones, que estén en el Registro, y",
153,XIV. Los demás que establezcan el Reglamento y las disposiciones jurídicas aplicables.,
154,"Artículo 18. Para inscribirse en el Registro, las Organizaciones deberán presentar la solicitud de registro en el formato que al efecto establezca la Subsecretaría, acompañada de la identificación oficial de su representante legal, debidamente acreditado, y el acta constitutiva de la Organización, así como los demás requisitos que se establezcan en el Reglamento.",
155,"La Subsecretaría con base en la solicitud e información proporcionada por las Organizaciones, las registrará.",
156,"En caso de que existan deficiencias en la información que consta en la solicitud, deberá abstenerse de inscribir a la Organización y le notificará dicha circunstancia, otorgándole un plazo de treinta días hábiles para que las subsane. Vencido el plazo, si no lo hiciere, se desechará la solicitud.",
157,Artículo 19. No se otorgará el registro a las Organizaciones cuando:,
158,LEY DE FOMENTO A LAS ACTIVIDADES DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL DEL ESTADO DE MÉXICO 9,
159,I. No se cumpla con alguno de los requisitos establecidos en la Ley y el Reglamento;,
160,II. La documentación exhibida presente irregularidades o sea falsa;,
161,"III. Existan antecedentes debidamente sustentados de haber cometido en el desarrollo de sus actividades desviación de recursos, infracciones graves o reiteradas a esta Ley o a otras disposiciones jurídicas;",
162,"IV. Existan pruebas del incumplimiento de su objeto, y",
163,V. Las demás que determinen otros ordenamientos.,
164,"Artículo 20. Los procedimientos de registro de Organizaciones, así como la administración y el funcionamiento del Registro, se realizarán y organizarán de conformidad con lo establecido en el Reglamento.",
165,"Artículo 21. El sistema de información del Registro funcionará mediante una base de datos única que podrá ser compartida entre las Dependencias y Entidades de la Administración Pública Estatal, relacionadas con las Actividades de Fomento, en términos de la Ley de Protección de Datos Personales en Posesión de Sujetos Obligados del Estado de México y Municipios.",
166,Artículo 22. En el Registro se concentrará toda la información que forme parte o derive del trámite y gestión respecto de la inscripción de las Organizaciones. Dicha información incluirá todas las acciones de fomento que las Dependencias o Entidades emprendan con relación a las Organizaciones registradas.,
167,"Las Dependencias y Entidades que otorguen apoyos y estímulos a las Organizaciones con inscripción vigente en el Registro, deberán incluir en el sistema de información del Registro lo relativo al tipo, monto y asignación de los mismos, de conformidad con lo establecido en el Reglamento.",
168,CAPÍTULO V DE LOS ESTÍMULOS Y APOYOS A ORGANIZACIONES DE LA SOCIEDAD CIVIL,
169,"Artículo 23. De conformidad con las convocatorias, lineamientos y mecanismos que determinen las Dependencias o Entidades, considerando la disponibilidad presupuestal de que dispongan para tal efecto, las Organizaciones podrán acceder a los siguientes apoyos:",
170,"I. Asesoría jurídica y acompañamiento para su constitución, la protocolización de sus asambleas, modificaciones o disolución ante Notario Público;",
171,"II. Difusión e invitación a eventos, foros, conferencias, seminarios, mesas de trabajo o publicaciones en la materia;",
172,"III. Revisión y, en su caso, regularización de su situación jurídica con el objeto de brindarles certeza jurídica;",
173,IV. Asesoría para gestionar recursos ante instancias nacionales e internacionales;,
174,LEY DE FOMENTO A LAS ACTIVIDADES DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL DEL ESTADO DE MÉXICO 10,
175,VI. Vinculación e integración a Redes de colaboración;,
176,"VII. Estímulos, bienes materiales, recursos económicos o en especie, y",
177,VIII. Los demás previstas en el Reglamento y en las disposiciones jurídicas aplicables.,
178,"Artículo 24. Los apoyos, estímulos, bienes materiales, o en su caso, los de carácter económico, que de acuerdo con las convocatorias, lineamientos o mecanismos y la disponibilidad presupuestal sean otorgados por las Dependencias o Entidades para favorecer las condiciones de fomento, fortalecimiento, promoción, incentivación y acompañamiento de las actividades realizadas por Organizaciones, deberán atender los principios de legalidad, objetividad, trasparencia y eficacia.",
179,"Artículo 25. Para acceder a los apoyos y estímulos dirigidos al fomento y fortalecimiento de las Organizaciones, además de las previstas en otras disposiciones jurídicas aplicables, las Organizaciones tendrán las obligaciones siguientes:",
180,"I. Sujetarse a los mecanismos institucionales y transparentes, con instrumentos de monitoreo y rendición de cuentas del uso de los recursos públicos;",
181,II. Destinar la totalidad de los recursos públicos al cumplimiento de las acciones concertadas para tal efecto;,
182,"III. Proporcionar los datos que les sean requeridos por la Secretaría o por las Dependencias y Entidades con las que tengan relación sobre la ubicación física y domicilio, nombre de sus representantes, características organizativas, servicios que presta, tipo de población atendida y otros datos de identificación;",
183,"IV. Mantener a disposición de la Secretaría la información relativa a las actividades que realicen, incluyendo informes o reportes anuales sobre el uso y resultados derivados de los apoyos y estímulos públicos recibidos, así como las facilidades para la verificación correspondiente y garantizar la transparencia de sus actividades;",
184,"V. Informar anualmente a la Secretaría, sobre las actividades realizadas y el cumplimiento de sus propósitos, así como el balance de su situación financiera, contable y patrimonial, que reflejen en forma clara su situación y, especialmente, el uso, aplicación y resultados de los apoyos y estímulos públicos otorgados con fines de fomento, a efectos de mantener actualizada la información, el estatus de activo y garantizar así la transparencia de sus actividades, en el cual deberán incluir los establecidos en el artículo 24 de la presente Ley;",
185,"VI. En caso de disolución, transmitir los bienes que haya adquirido con apoyos y estímulos públicos, a otra u otras Organizaciones que realicen Actividades de Fomento, estén inscritas en el Registro, y cumplan con los requisitos para el acceso a los apoyos y estímulos, previa autorización de la Secretaría, y",
186,VII. Las demás que señale el Reglamento o las disposiciones jurídicas aplicables.,
187,"Las Organizaciones que accedan a recursos y fondos públicos, quedarán sujetas a la supervisión, control y vigilancia de las autoridades competentes, conforme a la naturaleza del recurso.",
188,LEY DE FOMENTO A LAS ACTIVIDADES DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL DEL ESTADO DE MÉXICO 11,
189,"Artículo 26. Las Organizaciones dejarán de recibir los apoyos y estímulos públicos previstos en esta Ley, cuando incurran en alguno de los siguientes supuestos:",
190,"I. Exista entre las personas directivas y las personas servidoras públicas, encargadas de otorgar o autorizar los apoyos y estímulos públicos, relaciones de interés o de parentesco por consanguinidad o afinidad hasta el cuarto grado, o sean cónyuges o concubinos;",
191,"II. Contraten, con recursos públicos, a personas con nexos de parentesco con los directivos de la organización, ya sea por consanguinidad o afinidad hasta el cuarto grado, y",
192,III. Se compruebe que los apoyos fueron desviados a otros fines distintos a los previstos en la presente Ley o a alguna actividad con fines de lucro.,
193,"Artículo 27. Las Organizaciones que reciban apoyos y estímulos públicos, deberán sujetarse a las disposiciones jurídicas y administrativas aplicables en la materia. Las Organizaciones que obtengan recursos económicos de terceros o del extranjero, deberán llevar a cabo las operaciones correspondientes conforme a las disposiciones fiscales vigentes en el territorio nacional o, cuando así proceda, con base en los tratados y acuerdos internacionales de los que el país sea parte.",
194,"Artículo 28. El Plan Estatal de Desarrollo y los Planes Municipales deberán incorporar las políticas públicas de fomento de las Organizaciones, incluyendo los objetivos y metas generales que se pretendan alcanzar en esta materia.",
195,"Artículo 29. El Presupuesto de Egresos del Estado y los Presupuestos de Egresos de los Municipios deberán contemplar, respectivamente, las partidas financieras que se estimen necesarias para el fomento de las Organizaciones objeto de esta Ley.",
196,CAPÍTULO VI DEL FOMENTO Y FORTALECIMIENTO A LAS ORGANIZACIONES,
197,"Artículo 30. Las autoridades responsables en el ámbito de su competencia están obligadas a garantizar el respeto de los derechos previstos en esta Ley para la sociedad civil organizada, habitantes, ciudadanos y vecinos del Estado de México.",
198,"Artículo 31. Las Dependencias y Entidades deberán organizar los mecanismos y eventos que consideren necesarios para promover la constitución, colaboración y fortalecimiento de Organizaciones en Actividades de Fomento.",
199,"Artículo 32. Las Dependencias y Entidades, en el ámbito de su respectiva competencia y atribuciones, podrán fomentar y fortalecer las actividades previstas en esta Ley y su Reglamento a través de las acciones siguientes:",
200,"I. Implementar un sistema de información que contenga una base de datos de cada una de las Organizaciones que por sector atienda cada una de las Dependencias y Entidades, misma que estará abierta a todo público en los portales de internet;",
201,"II. Concertar y coordinar la participación de las Organizaciones en las políticas públicas, acciones y programas a su cargo;",
202,III. Generar espacios de participación para el diálogo e incidencia en políticas públicas o asuntos relacionados a problemáticas sociales;,
203,LEY DE FOMENTO A LAS ACTIVIDADES DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL DEL ESTADO DE MÉXICO 12,
204,IV. Dar visibilidad y posicionamiento a las Organizaciones entre las diversas instituciones públicas y privadas adyacentes a su sector;,
